title,varcd,geo_lastlevel,last_period_available,last_update,periodicity,update_type
Formação bruta de capital fixo (€) das Empresas,0008486,NUTS III,S7A2022,2023-12-15,Anual,D
Pessoal ao serviço (N.º) das Empresas,0008467,NUTS III,S7A2022,2023-12-15,Anual,D
Volume de negócios (€) das empresas,0008484,NUTS III,S7A2022,2023-12-15,Anual,D
Bombeiros (N.º),0008231,Município,S7A2022,2023-12-12,Anual,D
Proporção de superfície das zonas de intervenção florestal (%),0008977,Município,S7A2022,2023-12-12,Anual,D
Perímetro (km) das unidades territoriais,0008759,Município,S7A2022,2023-12-11,Anual,D
Poder de compra per capita,0008614,Município,S7A2021,2023-11-06,Bienal,D
Fator dinamismo relativo de poder de compra,0008616,Município,S7A2021,2023-11-06,Bienal,D
"Relação entre a duração das licenças parentais iniciais do pai e da mãe, da segurança social (%)",0008252,Município,S7A2022,2023-10-04,Anual,D
Pessoal ao serviço (Série 2007 - 2022 - N.º) das organizações não governamentais de ambiente,0002699,NUTS II,S7A2022,2023-10-03,Anual,D
"Beneficiárias/os do rendimento social de inserção, da segurança social (N.º)",0008251,Município,S7A2022,2023-08-29,Anual,D
"Beneficiárias/os do rendimento social de inserção, da segurança social por 1000 habitantes em idade ativa (‰)",0008339,Município,S7A2022,2023-08-29,Anual,D
Novas/os beneficiárias/os de subsídios de desemprego da segurança social (N.º),0010280,Município,S7A2022,2023-08-25,Anual,D
"Beneficiárias/os de subsídios de desemprego, da segurança social (N.º)",0010279,Município,S7A2022,2023-08-25,Anual,D
Pensões da segurança social (€),0008249,Município,S7A2022,2023-08-24,Anual,D
Valor médio das pensões da segurança social (€/ N.º),0008248,Município,S7A2022,2023-08-24,Anual,D
Pensionistas da segurança social (N.º),0008247,Município,S7A2022,2023-08-21,Anual,D
Enfermeiras/os (N.º),0008198,Município,S7A2022,2023-07-31,Anual,D
Edifícios de habitação familiar clássica (Parque habitacional - N.º),0008328,Município,S7A2022,2023-07-18,Anual,D
Alojamentos familiares clássicos (Parque habitacional - N.º),0008329,Município,S7A2022,2023-07-18,Anual,D
Índice sintético de desenvolvimento regional (Índice global),0008243,NUTS III,S7A2021,2023-06-07,Anual,D
Consumo humano de carne per capita (kg/ hab.),0000211,Portugal,S7A2023,2023-05-25,Anual,D
Índice de custo do trabalho (Base - 2016),0009840,Portugal,S5A20224,2023-02-10,Trimestral,D
Domínios de Portugal ativos (.pt) (N.º),0001719,Portugal,S7A2021,2022-05-16,Anual,D
Superfície das explorações agrícolas (ha),0002759,NUTS II,S7A2019,2021-03-31,Não periódica,D
Unidade de trabalho ano médio por 100 hectares de superfície agrícola utilizada (UTA),0002843,NUTS II,S7A2019,2021-03-31,Não periódica,D
Unidade de trabalho ano médio por exploração agrícola (UTA),0000026,NUTS II,S7A2019,2021-03-31,Não periódica,D
População agrícola familiar (N.º),0000035,NUTS II,S7A2019,2021-03-31,Não periódica,D
Superfície agrícola utilizada (ha),0000251,NUTS II,S7A2019,2021-03-31,Não periódica,D
Proporção da população residente com 18 e mais anos com excesso de peso ou obesidade (%),0010212,NUTS II,S7A2019,2020-09-30,Quinquenal,D
