title,varcd,geo_lastlevel,last_period_available,last_update,periodicity,update_type
Despesas em património cultural (€) dos municípios,0008057,Município,S7A2023,2024-10-25,Anual,D
Despesas em audiovisual e multimédia (€) dos municípios,0008062,Município,S7A2023,2024-10-25,Anual,D
Despesas em atividades interdisciplinares (€) dos municípios,0008064,Município,S7A2023,2024-10-25,Anual,D
Despesas em artes visuais (€) dos municípios,0008060,Município,S7A2023,2024-10-25,Anual,D
Despesas em atividades culturais e criativas (€) dos municípios,0007985,Município,S7A2023,2024-10-25,Anual,D
Estabelecimentos de ensino superior (N.º),0012597,Município,7A2024_3,2024-10-22,Anual,D
Veículos rodoviários motorizados (N.º),0007244,Portugal,S7A2023,2024-10-22,Anual,D
Valor mediano das vendas por m2 de alojamentos familiares nos últimos 12 meses (Metodologia 2022 - €),0012234,Freguesia,S5A20242,2024-10-21,Trimestral,D
Produção de leite (l),0013528,NUTS II,S7A2023,2024-10-17,Anual,D
Produção de leite (l),0008609,NUTS II,S7A2023,2024-10-17,Anual,D
Incêndios rurais (N.º),0013512,Município,S7A2023,2024-10-16,Anual,D
Exemplares vendidos da edição impressa de publicações periódicas (N.º),0003768,Portugal,S7A2023,2024-10-14,Anual,D
Contribuições sociais em percentagem do PIB (%),0009227,Portugal,S7A2023,2024-10-10,Anual,D
Empresas Intra-UE importadoras de bens (€),0007229,Portugal,S7A2022,2024-10-08,Anual,D
Empresas Extra-UE exportadoras de bens (€),0007232,Portugal,S7A2022,2024-10-08,Anual,D
Mercadorias carregadas (Tráfego nacional - t),0002619,Porto,S3A202406,2024-10-03,Mensal,D
Produto interno bruto real per capita (Taxa de variação anual - Base 2021 - %),0013493,Portugal,S7A2023,2024-10-03,Anual,D
Mercadorias carregadas (t),0000766,Porto,S7A2023,2024-10-03,Anual,D
Mercadorias descarregadas (t),0000768,Porto,S7A2023,2024-10-03,Anual,D
Arqueação bruta das embarcações de comércio (GT),0000764,Porto,S7A2023,2024-10-03,Anual,D
Imigrantes permanentes (N.º),0006055,Portugal,S7A2023,2024-09-30,Anual,D
Ganho médio mensal (€),0012653,Município,S7A2022,2024-09-27,Anual,D
Valor mediano das rendas por m2 de novos contratos de arrendamento de alojamentos familiares (€),0012571,NUTS III,S5A20242,2024-09-26,Trimestral,D
Espetadores de teatro (N.º),0005423,Portugal,S7A2023,2024-09-25,Anual,D
Saldo das Administrações Públicas no ano terminado no trimestre (% do PIB),0009797,Portugal,S5A20242,2024-09-23,Trimestral,D
População estrangeira com estatuto legal de residente (N.º),0001274,Portugal,S7A2023,2024-09-20,Anual,D
Transações (€) de alojamentos familiares,0012786,NUTS II,S5A20242,2024-09-20,Trimestral,D
Índice de preços da habitação (Base - 2015),0009201,Portugal,S5A20242,2024-09-20,Trimestral,D
Proporção de exportações de bens de alta tecnologia (%),0012351,NUTS 3,S7A2023,2024-09-19,Anual,D
Exportações (€) de bens,0012349,NUTS 3,S7A2023,2024-09-19,Anual,D
Grau de abertura (%),0008786,NUTS III,S7A2022,2024-09-19,Anual,D
Importações (€) de bens,0012348,NUTS 3,S7A2023,2024-09-19,Anual,D
Taxa de cobertura das importações pelas exportações (%),0012350,NUTS 3,S7A2023,2024-09-19,Anual,D
Taxa de mortalidade materna por 100 000 nados-vivos (N.º),0009334,Portugal,S7A2022,2024-09-19,Anual,D
Intensidade exportadora (%),0008785,NUTS III,S7A2022,2024-09-19,Anual,D
Fogos concluídos (N.º) em construções novas para habitação familiar,0012778,NUTS II,S5A20242,2024-09-12,Trimestral,D
Museus (N.º),0004121,Portugal,S7A2023,2024-09-10,Anual,D
Visitantes (N.º) de museus,0007519,Portugal,S7A2023,2024-09-10,Anual,D
Taxa de mortalidade por lesões autoprovocadas intencionalmente (suicídio) por 100 000 habitantes (N.º),0003736,NUTS II,S7A2022,2024-09-07,Anual,D
"Taxa de mortalidade (30 a 70 anos) atribuída a doenças do aparelho circulatório, tumores malignos, diabetes mellitus e doenças crónicas respiratórias por 100 000 habitantes (N.º)",0009100,Portugal,S7A2022,2024-09-05,Anual,D
Taxa de mortalidade por acidentes rodoviários por 100 000 habitantes (N.º),0013423,NUTS II,S7A2022,2024-09-05,Anual,D
Acessos à Internet em banda larga em local fixo (N.º),0013140,Município,S7A2023,2024-09-04,Anual,D
Beneficiárias/os da prestação social para a inclusão da segurança social (N.º),0013406,Município,S7A2023,2024-08-31,Anual,D
Acessos telefónicos por 100 habitantes (N.º),0008447,Município,S7A2023,2024-08-28,Anual,D
Habitantes por estações de correio (N.º),0008454,Município,S7A2023,2024-08-28,Anual,D
Postos telefónicos públicos por 1000 habitantes (N.º),0008449,Município,S7A2023,2024-08-28,Anual,D
Postos telefónicos residenciais por 100 habitantes (N.º),0008448,Município,S7A2023,2024-08-28,Anual,D
Habitantes por postos de correio (N.º),0008455,Município,S7A2023,2024-08-28,Anual,D
Veículos novos vendidos (N.º),0012773,Município,S7A2023,2024-08-20,Anual,D
Veículos novos vendidos por 1000 habitantes (N.º),0013171,Município,S7A2023,2024-08-20,Anual,D
Importações (€) de bens,0005719,Agrupamento/País,S7A2023,2024-08-09,Anual,D
Importações (€) de bens,0000008,Agrupamento/País,S7A2023,2024-08-09,Anual,D
Exportações (€) de bens,0005720,Agrupamento/País,S7A2023,2024-08-09,Anual,D
População ativa (Série 2021 - N.º),0012148,NUTS II,S7A2023,2024-08-07,Anual,D
Taxa de escolaridade do nível de ensino superior (Série 2021 - %) da população residente com idade entre 25 e 64 anos,0011327,NUTS II,S7A2023,2024-08-07,Anual,D
Taxa de escolaridade do nível de ensino secundário (Série 2021 - %),0011326,NUTS II,S7A2023,2024-08-07,Anual,D
Taxa de desemprego (Série 2021 - %),0012173,NUTS II,S7A2023,2024-08-07,Anual,D
Taxa de abandono precoce de educação e formação (Série 2021 - %),0011298,NUTS II,S7A2023,2024-08-07,Anual,D
Aprendizagem ao longo de vida (Série 2021 - %),0011297,NUTS II,S7A2023,2024-08-07,Anual,D
Taxa de escolaridade do nível de ensino superior (Série 2021 - %) da população residente com idade entre 30 e 34 anos,0011329,Portugal,S7A2023,2024-08-07,Anual,D
Taxa de escolaridade do nível de ensino básico (Série 2021 - %),0011325,NUTS II,S7A2023,2024-08-07,Anual,D
Dirigentes no setor das administrações públicas (N.º),0007318,Portugal,S7A2023,2024-08-05,Anual,D
Proporção de dirigentes no setor das administrações públicas (%),0007319,Portugal,S7A2023,2024-08-05,Anual,D
Relação de feminilidade (mulheres por 100 homens) entre os dirigentes no setor das administrações públicas (N.º),0010081,Portugal,S7A2023,2024-08-05,Anual,D
Enfermeiras/os por 1000 habitantes (N.º),0012842,Município,S7A2023,2024-08-01,Anual,D
Médicas/os por 1000 habitantes (N.º),0012837,Município,S7A2023,2024-08-01,Anual,D
Proporção de indivíduos com idade entre 16 e 74 anos que dispõem de telemóvel próprio (%),0013340,Portugal,S7A2023,2024-07-29,Anual,D
Despesas em ambiente dos municípios por 1000 habitantes (€/ hab.),0008293,Município,S7A2022,2024-07-25,Anual,D
Taxa de criminalidade (‰),0012260,Município,S7A2023,2024-07-25,Anual,D
Pavimentos por edifício concluído (N.º) em construções novas para habitação familiar,0013250,Município,S7A2023,2024-07-18,Anual,D
Edifícios concluídos (N.º),0013255,Município,S7A2023,2024-07-18,Anual,D
Pavimentos por edifício licenciado (N.º) em construções novas para habitação familiar,0013237,Município,S7A2023,2024-07-18,Anual,D
Quartos (N.º) em estabelecimentos de alojamento turístico,0009874,Município,S7A2023,2024-07-15,Anual,D
Capacidade de alojamento (N.º) nos estabelecimentos de alojamento turístico,0009875,Município,S7A2023,2024-07-15,Anual,D
